Produto,Preço,URL
Apple iPhone 12 (64 GB) - Branco - Distribuidor Autorizado,7.199,https://www.mercadolivre.com.br/apple-iphone-12-64-gb-branco-distribuidor-autorizado/p/MLB1016163647#polycard_client=search-nordic&wid=MLB1963860201&sid=search&searchVariation=MLB1016163647&position=4&search_layout=stack&type=product&tracking_id=5d635a9c-1de7-400f-8397-b8772861ebe8
Apple iPhone 12 (128 GB)  - Branco,2.832,https://www.mercadolivre.com.br/apple-iphone-12-128-gb-branco/p/MLB16163652#polycard_client=search-nordic&wid=MLB3911897567&sid=search&searchVariation=MLB16163652&position=3&search_layout=stack&type=product&tracking_id=5d635a9c-1de7-400f-8397-b8772861ebe8
iPhone 12 64 GB preto - Excelente (Recondicionado),2.447,https://www.mercadolivre.com.br/iphone-12-64-gb-preto-excelente-recondicionado/p/MLB2000156694#polycard_client=search-nordic&wid=MLB3921095495&sid=search&searchVariation=MLB2000156694&position=5&search_layout=stack&type=product&tracking_id=5d635a9c-1de7-400f-8397-b8772861ebe8
iPhone 12 64 GB verde - Excelente (Recondicionado),2.478,https://www.mercadolivre.com.br/iphone-12-64-gb-verde-excelente-recondicionado/p/MLB2000087096#polycard_client=search-nordic&wid=MLB5211000202&sid=search&searchVariation=MLB2000087096&position=6&search_layout=stack&type=product&tracking_id=5d635a9c-1de7-400f-8397-b8772861ebe8
iPhone 12 Pro 128 GB grafite - Excelente (Recondicionado),2.999,https://www.mercadolivre.com.br/iphone-12-pro-128-gb-grafite-excelente-recondicionado/p/MLB2000065691#polycard_client=search-nordic&wid=MLB5222501578&sid=search&searchVariation=MLB2000065691&position=8&search_layout=stack&type=product&tracking_id=5d635a9c-1de7-400f-8397-b8772861ebe8
iPhone 12 64 GB (product)red - Excelente (Recondicionado),2.449,https://www.mercadolivre.com.br/iphone-12-64-gb-productred-excelente-recondicionado/p/MLB2000069835#polycard_client=search-nordic&wid=MLB3921072535&sid=search&searchVariation=MLB2000069835&position=13&search_layout=stack&type=product&tracking_id=5d635a9c-1de7-400f-8397-b8772861ebe8
iPhone 12 64 GB roxo - Excelente (Recondicionado),2.599,https://www.mercadolivre.com.br/iphone-12-64-gb-roxo-excelente-recondicionado/p/MLB2000029405#polycard_client=search-nordic&wid=MLB3920162309&sid=search&searchVariation=MLB2000029405&position=11&search_layout=stack&type=product&tracking_id=5d635a9c-1de7-400f-8397-b8772861ebe8
iPhone 12 64 GB azul - Excelente (Recondicionado),2.599,https://www.mercadolivre.com.br/iphone-12-64-gb-azul-excelente-recondicionado/p/MLB2000068799#polycard_client=search-nordic&wid=MLB3918317421&sid=search&searchVariation=MLB2000068799&position=7&search_layout=stack&type=product&tracking_id=5d635a9c-1de7-400f-8397-b8772861ebe8
iPhone 12 128 GB preto - Excelente (Recondicionado),2.765,https://www.mercadolivre.com.br/iphone-12-128-gb-preto-excelente-recondicionado/p/MLB2000055941#polycard_client=search-nordic&wid=MLB3923324263&sid=search&searchVariation=MLB2000055941&position=12&search_layout=stack&type=product&tracking_id=5d635a9c-1de7-400f-8397-b8772861ebe8
iPhone 12 128 GB roxo - Excelente (Recondicionado),2.623,https://www.mercadolivre.com.br/iphone-12-128-gb-roxo-excelente-recondicionado/p/MLB2000108360#polycard_client=search-nordic&wid=MLB3922706817&sid=search&searchVariation=MLB2000108360&position=14&search_layout=stack&type=product&tracking_id=5d635a9c-1de7-400f-8397-b8772861ebe8
Apple iPhone 12 (128 GB) - Branco - Excelente (Recondicionado),2.699,https://www.mercadolivre.com.br/apple-iphone-12-128-gb-branco-excelente-recondicionado/p/MLB2000109702#polycard_client=search-nordic&wid=MLB3920137729&sid=search&searchVariation=MLB2000109702&position=15&search_layout=stack&type=product&tracking_id=5d635a9c-1de7-400f-8397-b8772861ebe8
Apple iPhone 12 (64 GB) - Preto,2.720,https://www.mercadolivre.com.br/apple-iphone-12-64-gb-preto/p/MLB16163648#polycard_client=search-nordic&wid=MLB3292654633&sid=search&searchVariation=MLB16163648&position=22&search_layout=stack&type=product&tracking_id=5d635a9c-1de7-400f-8397-b8772861ebe8
Apple iPhone 12 Pro Max (128 GB) Grafite,4.499,https://www.mercadolivre.com.br/apple-iphone-12-pro-max-128-gb-grafite/p/MLB16163692#polycard_client=search-nordic&wid=MLB5209219372&sid=search&searchVariation=MLB16163692&position=10&search_layout=stack&type=product&tracking_id=5d635a9c-1de7-400f-8397-b8772861ebe8
